GivenName,Surname,Name,DisplayName,Department,Subdepartment,Description,Reports To,Site,samAccountName,UserPrincipalName,EmailAddress,Office,OfficePhone,EmployeeNumber,Path
Carlos,Santana,Carlos Santana,Santana Carlos Santana,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,Carlos.Santana,Carlos.Santana@raudz.com,Carlos.Santana@raudz.com,N/A,N/A,20220088,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Buddy,Holly,Buddy Holly,Holly Buddy Holly,TOT,Front of House,Hostess,Restaurant Manager,The Okanagan Table,Buddy.Holly,Buddy.Holly@raudz.com,Buddy.Holly@raudz.com,N/A,N/A,20220089,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Ma,Donna,Ma Donna,Donna Ma Donna,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Ma.Donna,Ma.Donna@raudz.com,Ma.Donna@raudz.com,N/A,N/A,20220090,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Don,Henley,Don Henley,Henley Don Henley,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Don.Henley,Don.Henley@raudz.com,Don.Henley@raudz.com,N/A,N/A,20220091,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Eddie,VanHalen,Eddie VanHalen,VanHalen Eddie VanHalen,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Eddie.VanHalen,Eddie.VanHalen@raudz.com,Eddie.VanHalen@raudz.com,N/A,N/A,20220092,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
James,Lennon,James Lennon,Lennon James Lennon,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,James.Lennon,James.Lennon@raudz.com,James.Lennon@raudz.com,N/A,N/A,20220093,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Mick,Jagger,Mick Jagger,Jagger Mick Jagger,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Mick.Jagger,Mick.Jagger@raudz.com,Mick.Jagger@raudz.com,N/A,N/A,20220094,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Liam,Gallagher,Liam Gallagher,Gallagher Liam Gallagher,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Liam.Gallagher,Liam.Gallagher@raudz.com,Liam.Gallagher@raudz.com,N/A,N/A,20220095,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Frank,Zappa,Frank Zappa,Zappa Frank Zappa,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Frank.Zappa,Frank.Zappa@raudz.com,Frank.Zappa@raudz.com,N/A,N/A,20220096,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Dwayne,Johnson,Dwayne Johnson,Johnson Dwayne Johnson,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,Dwayne.Johnson,Dwayne.Johnson@raudz.com,Dwayne.Johnson@raudz.com,N/A,N/A,20220097,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Adam,Sandler,Adam Sandler,Sandler Adam Sandler,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,Adam.Sandler,Adam.Sandler@raudz.com,Adam.Sandler@raudz.com,N/A,N/A,20220098,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Tom,Hanks,Tom Hanks,Hanks Tom Hanks,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,Tom.Hanks,Tom.Hanks@raudz.com,Tom.Hanks@raudz.com,N/A,N/A,20220099,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
DavidLee,Roth,DavidLee Roth,Roth DavidLee Roth,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,DavidLee.Roth,DavidLee.Roth@raudz.com,DavidLee.Roth@raudz.com,N/A,N/A,20220100,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Mickey,Dolenz,Mickey Dolenz,Dolenz Mickey Dolenz,TOT,Back of House,Sous Chef,Restaurant Manager,The Okanagan Table,Mickey.Dolenz,Mickey.Dolenz@raudz.com,Mickey.Dolenz@raudz.com,N/A,N/A,20220101,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Peter,Tork,Peter Tork,Tork Peter Tork,TOT,Back of House,Sous Chef,Restaurant Manager,The Okanagan Table,Peter.Tork,Peter.Tork@raudz.com,Peter.Tork@raudz.com,N/A,N/A,20220102,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Davy,Jones,Davy Jones,Jones Davy Jones,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,Davy.Jones,Davy.Jones@raudz.com,Davy.Jones@raudz.com,N/A,N/A,20220103,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Michael,Nesmith,Michael Nesmith,Nesmith Michael Nesmith,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,Michael.Nesmith,Michael.Nesmith@raudz.com,Michael.Nesmith@raudz.com,N/A,N/A,20220104,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Keith,Richards,Keith Richards,Richards Keith Richards,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,Keith.Richards,Keith.Richards@raudz.com,Keith.Richards@raudz.com,N/A,N/A,20220105,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Stevie,Wonder,Stevie Wonder,Wonder Stevie Wonder,TOT,Back of House,Warewasher,Restaurant Manager,The Okanagan Table,Stevie.Wonder,Stevie.Wonder@raudz.com,Stevie.Wonder@raudz.com,N/A,N/A,20220106,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jennifer,Lennon,Jennifer Lennon,Lennon Jennifer Lennon,TOT,Back of House,Warewasher,Restaurant Manager,The Okanagan Table,Jennifer.Lennon,Jennifer.Lennon@raudz.com,Jennifer.Lennon@raudz.com,N/A,N/A,20220107,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
